date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:59:18	110/110	---MCZ	200	added ('OK')	text/plain	date:Thu,%2027%20Oct%202022%2014:30:09%20GMT	https://dejariley.com/robots.txt		(from )
19:59:19	73362/73362	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2014:30:09%20GMT	https://dejariley.com/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day7/Web32/Site32/dejariley.com/index.html	(from )
19:59:19	4468/4468	---M--	200	added ('OK')	image/png	etag:14d8995b6f0cceb7656e58bd48ead3c0	http://static.showit.co/200/OeZgeZUqSB6EartPkTvMdg/156937/standard.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day7/Web32/Site32/static.showit.co/200/OeZgeZUqSB6EartPkTvMdg/156937/standard.png	(from https://dejariley.com/)
19:59:20	55522/55522	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-d8e2%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.4.0/animate.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day7/Web32/Site32/cdnjs.cloudflare.com/ajax/libs/animate.css/3.4.0/animate.min.css	(from https://dejariley.com/)
19:59:20	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day7/Web32/Site32/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://dejariley.com/)
19:59:22	49192/49192	---MCZ	200	added ('OK')	application/javascript	etag:W/%2250d326d16672ba334fe59ea67bf94d91%22	http://lib.showit.co/engine/1.4.26/showit-lib.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day7/Web32/Site32/lib.showit.co/engine/1.4.26/showit-lib.min.js	(from https://dejariley.com/)
19:59:22	7290/7290	---MCZ	200	added ('OK')	text/css	etag:W/%228e74b817a46d3ed438a34b919f7bd280%22	http://lib.showit.co/engine/1.4.26/showit.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day7/Web32/Site32/lib.showit.co/engine/1.4.26/showit.css	(from https://dejariley.com/)
19:59:22	60371/60371	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cf4921b3669a7a660f2f2cb7825abddc%22	http://lib.showit.co/engine/1.4.26/showit.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day7/Web32/Site32/lib.showit.co/engine/1.4.26/showit.min.js	(from https://dejariley.com/)
19:59:26	84721/84721	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2014:30:17%20GMT	https://dejariley.com/contact	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day7/Web32/Site32/dejariley.com/contact.html	(from https://dejariley.com/)
19:59:27	88571/88571	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2014:30:18%20GMT	https://dejariley.com/press	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day7/Web32/Site32/dejariley.com/press.html	(from https://dejariley.com/)
